NbCont,NbPos,Variables introduites par le CSP 1,Variables introduites par le CSP 2,Variables introduites par le CSP 3,Variables introduites par le CSP 4,Variables introduites par le CSP 5,Variables introduites par le CSP 6,Variables introduites par le CSP 7,Variables introduites par le CSP 8,Variables introduites par le CSP 9,Variables introduites par le CSP 10,Variables introduites par le CSP moyenne
2,16,112,96,80,112,112,112,96,80,96,96,99.2
4,16,112,112,112,112,112,112,112,112,112,112,112
6,16,112,112,112,112,112,112,112,112,112,112,112
8,16,112,112,112,112,112,112,112,112,112,112,112
10,16,112,112,112,112,112,112,112,112,112,112,112
12,16,112,112,112,112,112,112,112,112,112,112,112
14,16,112,112,112,112,112,112,112,112,112,112,112
16,16,112,112,112,112,112,112,112,112,112,112,112
18,16,112,112,112,112,112,112,112,112,112,112,112
20,16,112,112,112,112,112,112,112,112,112,112,112
2,32,224,192,192,192,224,224,192,192,192,160,198.4
4,32,224,224,224,192,224,224,224,224,224,224,220.8
6,32,224,224,224,224,224,224,224,224,224,224,224
8,32,224,224,224,224,224,192,224,224,224,224,220.8
10,32,224,224,224,224,224,224,224,224,224,224,224
12,32,224,224,224,224,224,224,224,224,224,224,224
14,32,224,224,224,224,224,224,224,224,224,224,224
16,32,224,224,224,224,224,224,224,224,224,224,224
18,32,224,224,224,224,224,224,224,224,224,224,224
20,32,224,224,224,224,224,224,224,224,224,224,224
22,32,224,224,224,224,224,224,224,224,224,224,224
24,32,224,224,224,224,224,224,224,224,224,224,224
26,32,224,224,224,224,224,224,224,224,224,224,224
28,32,224,224,224,224,224,224,224,224,224,224,224
30,32,224,224,224,224,224,224,224,224,224,224,224
32,32,224,224,224,224,224,224,224,224,224,224,224
34,32,224,224,224,224,224,224,224,224,224,224,224
36,32,224,224,224,224,224,224,224,224,224,224,224
38,32,224,224,224,224,224,224,224,224,224,224,224
40,32,224,224,224,224,224,224,224,224,224,224,224
